iter	Passed	Remaining
0	102	102659
1	204	101898
2	297	98960
3	416	103681
4	541	107794
5	627	104007
6	728	103333
7	845	104819
8	928	102201
9	1028	101790
10	1137	102273
11	1248	102798
12	1343	102029
13	1449	102081
14	1547	101650
15	1632	100423
16	1751	101251
17	1838	100294
18	1920	99133
19	2009	98489
20	2120	98871
21	2219	98684
22	2317	98438
23	2424	98616
24	2569	100194
25	2709	101508
26	2856	102953
27	2998	104083
28	3158	105745
29	3287	106309
30	3423	107006
31	3560	107706
32	3686	108023
33	3837	109023
34	4005	110426
35	4183	112032
36	4335	112827
37	4484	113528
38	4633	114165
39	4788	114922
40	4930	115326
41	5084	115979
42	5220	116178
43	5376	116807
44	5536	117500
45	5700	118222
46	5857	118762
47	6011	119227
48	6168	119714
49	6329	120265
50	6488	120742
51	6636	120983
52	6793	121386
53	6960	121938
54	7121	122366
55	7282	122767
56	7432	122967
57	7595	123367
58	7758	123748
59	7924	124154
60	8071	124250
61	8214	124273
62	8376	124579
63	8518	124578
64	8683	124910
65	8840	125103
66	8987	125156
67	9128	125107
68	9275	125150
69	9425	125227
70	9591	125500
71	9758	125772
72	9918	125949
73	10084	126190
74	10236	126251
75	10387	126296
76	10537	126316
77	10692	126391
78	10856	126567
79	11017	126698
80	11172	126764
81	11336	126909
82	11506	127126
83	11657	127124
84	11809	127123
85	11951	127024
86	12111	127105
87	12273	127200
88	12416	127093
89	12582	127224
90	12735	127212
91	12888	127202
92	13077	127540
93	13242	127639
94	13397	127629
95	13561	127699
96	13709	127629
97	13877	127727
98	14041	127795
99	14197	127779
100	14357	127798
101	14526	127892
102	14693	127963
103	14859	128024
104	15025	128077
105	15188	128101
106	15340	128029
107	15506	128068
108	15671	128101
109	15832	128099
110	15972	127927
111	16075	127458
112	16174	126963
113	16272	126471
114	16366	125950
115	16471	125523
116	16574	125084
117	16673	124629
118	16768	124141
119	16867	123694
120	16973	123301
121	17071	122860
122	17187	122547
123	17302	122234
124	17417	121919
125	17528	121585
126	17620	121120
127	17718	120704
128	17814	120281
129	17913	119883
130	18015	119510
131	18126	119197
132	18224	118801
133	18342	118540
134	18500	118540
135	18671	118618
136	18820	118555
137	18984	118586
138	19147	118605
139	19305	118592
140	19473	118637
141	19638	118659
142	19797	118645
143	19965	118684
144	20127	118683
145	20285	118655
146	20452	118681
147	20602	118605
148	20740	118456
149	20888	118368
150	21037	118285
151	21183	118184
152	21365	118279
153	21519	118220
154	21671	118144
155	21823	118071
156	21975	117997
157	22126	117915
158	22283	117863
159	22443	117825
160	22594	117743
161	22756	117716
162	22909	117637
163	23072	117612
164	23227	117547
165	23394	117534
166	23555	117496
167	23713	117439
168	23871	117378
169	24024	117295
170	24172	117187
171	24336	117153
172	24503	117133
173	24661	117071
174	24819	117004
175	24968	116899
176	25108	116748
177	25271	116705
178	25421	116599
179	25572	116495
180	25716	116362
181	25869	116270
182	26031	116215
183	26180	116103
184	26335	116017
185	26489	115925
186	26649	115863
187	26804	115773
188	26978	115762
189	27131	115667
190	27280	115547
191	27429	115431
192	27580	115322
193	27752	115302
194	27911	115224
195	28063	115116
196	28210	114990
197	28320	114713
198	28478	114629
199	28621	114487
200	28783	114416
201	28930	114288
202	29087	114199
203	29233	114069
204	29393	113991
205	29599	114088
206	29746	113955
207	29902	113860
208	30060	113771
209	30220	113686
210	30367	113554
211	30504	113383
212	30653	113260
213	30819	113195
214	30983	113124
215	31073	112785
216	31238	112718
217	31382	112572
218	31536	112465
219	31696	112378
220	31858	112297
221	31955	111989
222	32053	111685
223	32154	111391
224	32257	111110
225	32360	110828
226	32463	110548
227	32563	110259
228	32664	109976
229	32767	109698
230	32860	109393
231	32961	109113
232	33054	108810
233	33152	108526
234	33256	108262
235	33361	108000
236	33461	107724
237	33557	107439
238	33666	107196
239	33795	107018
240	33914	106808
241	34029	106589
242	34136	106342
243	34245	106104
244	34362	105893
245	34524	105820
246	34690	105756
247	34846	105663
248	34992	105539
249	35147	105443
250	35310	105368
251	35462	105262
252	35620	105171
253	35771	105062
254	35932	104980
255	36097	104908
256	36249	104800
257	36404	104698
258	36569	104624
259	36712	104489
260	36869	104392
261	37036	104324
262	37176	104178
263	37326	104062
264	37486	103971
265	37648	103887
266	37809	103800
267	37956	103672
268	38124	103602
269	38290	103524
270	38448	103427
271	38607	103331
272	38763	103228
273	38924	103136
274	39060	102976
275	39217	102875
276	39366	102749
277	39529	102662
278	39695	102581
279	39828	102415
280	39973	102281
281	40119	102147
282	40264	102013
283	40423	101912
284	40581	101808
285	40743	101716
286	40892	101589
287	41047	101478
288	41204	101371
289	41351	101240
290	41526	101175
291	41689	101083
292	41836	100951
293	41912	100647
294	42078	100559
295	42231	100442
296	42373	100297
297	42541	100215
298	42702	100115
299	42865	100019
300	43022	99909
301	43183	99808
302	43347	99713
303	43513	99623
304	43676	99525
305	43823	99390
306	43983	99285
307	44137	99165
308	44293	99050
309	44456	98951
310	44611	98833
311	44768	98719
312	44903	98559
313	45050	98422
314	45210	98315
315	45353	98170
316	45512	98059
317	45664	97935
318	45808	97792
319	46006	97763
320	46168	97659
321	46331	97554
322	46500	97462
323	46664	97362
324	46815	97231
325	46978	97128
326	47134	97007
327	47299	96906
328	47462	96801
329	47613	96670
330	47790	96591
331	47905	96387
332	48002	96150
333	48117	95947
334	48211	95703
335	48311	95472
336	48429	95278
337	48529	95049
338	48624	94810
339	48712	94559
340	48813	94334
341	48905	94093
342	49024	93904
343	49127	93684
344	49228	93462
345	49332	93247
346	49431	93023
347	49533	92803
348	49637	92590
349	49735	92365
350	49834	92143
351	49924	91905
352	50029	91697
353	50131	91483
354	50243	91288
355	50396	91165
356	50550	91047
357	50693	90907
358	50856	90805
359	51002	90671
360	51158	90555
361	51310	90431
362	51469	90320
363	51636	90221
364	51782	90087
365	51939	89972
366	52093	89851
367	52186	89624
368	52347	89515
369	52507	89405
370	52649	89262
371	52803	89140
372	52944	88998
373	53098	88875
374	53249	88748
375	53412	88642
376	53565	88518
377	53715	88389
378	53863	88257
379	54024	88145
380	54191	88043
381	54293	87835
382	54466	87743
383	54627	87630
384	54795	87529
385	54952	87410
386	55115	87301
387	55278	87192
388	55440	87080
389	55597	86960
390	55764	86855
391	55925	86741
392	56078	86615
393	56235	86494
394	56393	86375
395	56555	86260
396	56695	86114
397	56842	85977
398	57004	85864
399	57092	85638
400	57252	85521
401	57414	85407
402	57557	85264
403	57740	85181
404	57889	85047
405	58056	84940
406	58217	84823
407	58371	84695
408	58536	84584
409	58692	84460
410	58842	84326
411	59011	84220
412	59162	84087
413	59315	83958
414	59465	83825
415	59627	83708
416	59773	83568
417	59931	83445
418	60089	83322
419	60242	83192
420	60327	82967
421	60386	82709
422	60549	82594
423	60713	82479
424	60886	82375
425	61045	82253
426	61209	82138
427	61370	82019
428	61532	81900
429	61677	81758
430	61842	81643
431	62004	81524
432	62148	81382
433	62307	81257
434	62471	81141
435	62626	81012
436	62766	80863
437	62908	80718
438	63085	80616
439	63236	80482
440	63357	80310
441	63489	80152
442	63639	80016
443	63791	79883
444	63890	79684
445	63986	79481
446	64098	79299
447	64200	79104
448	64293	78898
449	64425	78741
450	64530	78552
451	64642	78371
452	64737	78170
453	64852	77995
454	64947	77794
455	65046	77599
456	65145	77405
457	65254	77222
458	65361	77038
459	65455	76838
460	65549	76640
461	65682	76487
462	65791	76306
463	65913	76141
464	66014	75952
465	66113	75760
466	66209	75566
467	66333	75404
468	66485	75274
469	66647	75155
470	66807	75034
471	66957	74901
472	67113	74775
473	67277	74658
474	67433	74531
475	67579	74394
476	67740	74273
477	67893	74143
478	68040	74006
479	68198	73881
480	68351	73751
481	68488	73603
482	68652	73485
483	68793	73342
484	68943	73207
485	69077	73057
486	69226	72922
487	69365	72777
488	69525	72653
489	69684	72528
490	69841	72401
491	69990	72266
492	70153	72145
493	70311	72019
494	70471	71895
495	70634	71773
496	70800	71655
497	70953	71523
498	71102	71387
499	71254	71254
500	71443	71158
501	71599	71028
502	71763	70907
503	71921	70779
504	72063	70636
505	72230	70517
506	72403	70403
507	72575	70289
508	72724	70152
509	72882	70023
510	73058	69913
511	73224	69792
512	73391	69672
513	73516	69511
514	73687	69395
515	73852	69272
516	74015	69148
517	74186	69030
518	74359	68915
519	74533	68799
520	74709	68687
521	74869	68558
522	75033	68434
523	75184	68297
524	75346	68170
525	75520	68054
526	75688	67933
527	75840	67797
528	76008	67675
529	76160	67538
530	76335	67422
531	76504	67300
532	76667	67173
533	76830	67046
534	76998	66923
535	77142	66779
536	77296	66644
537	77449	66509
538	77609	66378
539	77768	66247
540	77923	66112
541	78084	65983
542	78249	65856
543	78417	65731
544	78579	65602
545	78753	65483
546	78920	65358
547	79073	65220
548	79240	65095
549	79401	64964
550	79585	64852
551	79721	64701
552	79820	64520
553	79929	64347
554	80033	64171
555	80138	63995
556	80244	63821
557	80363	63657
558	80504	63510
559	80608	63335
560	80715	63162
561	80836	63000
562	80963	62844
563	81080	62679
564	81202	62518
565	81303	62341
566	81401	62163
567	81502	61987
568	81605	61813
569	81699	61632
570	81800	61457
571	81889	61273
572	81993	61101
573	82099	60931
574	82223	60773
575	82382	60642
576	82551	60518
577	82696	60376
578	82850	60241
579	83018	60117
580	83178	59985
581	83342	59857
582	83496	59722
583	83645	59583
584	83813	59457
585	83963	59319
586	84112	59179
587	84269	59046
588	84441	58922
589	84586	58780
590	84728	58636
591	84870	58491
592	85031	58360
593	85186	58225
594	85348	58094
595	85518	57969
596	85675	57834
597	85838	57704
598	85990	57566
599	86137	57424
600	86282	57282
601	86435	57144
602	86584	57004
603	86742	56871
604	86895	56733
605	87050	56597
606	87203	56459
607	87377	56335
608	87531	56198
609	87695	56067
610	87849	55930
611	87978	55777
612	88152	55652
613	88315	55521
614	88482	55391
615	88631	55250
616	88790	55116
617	88954	54984
618	89112	54849
619	89275	54717
620	89436	54583
621	89591	54446
622	89755	54314
623	89917	54181
624	90062	54037
625	90227	53905
626	90400	53778
627	90525	53623
628	90671	53480
629	90815	53336
630	90976	53201
631	91120	53057
632	91290	52928
633	91455	52795
634	91606	52655
635	91754	52513
636	91900	52370
637	92065	52237
638	92219	52099
639	92369	51957
640	92521	51817
641	92684	51683
642	92844	51548
643	93003	51411
644	93169	51279
645	93322	51139
646	93468	50995
647	93612	50850
648	93767	50712
649	93925	50575
650	94077	50434
651	94230	50294
652	94387	50157
653	94528	50010
654	94665	49861
655	94822	49723
656	94959	49575
657	95119	49438
658	95278	49301
659	95434	49163
660	95596	49027
661	95712	48868
662	95812	48701
663	95907	48531
664	96003	48362
665	96124	48206
666	96219	48037
667	96334	47878
668	96436	47713
669	96531	47545
670	96626	47377
671	96720	47208
672	96817	47042
673	96979	46907
674	97096	46750
675	97196	46585
676	97301	46423
677	97398	46257
678	97502	46094
679	97616	45937
680	97731	45780
681	97825	45613
682	97964	45467
683	98071	45308
684	98179	45148
